"Year","Source","Target","Type","export_val","import_val"
2017,"moz","are","directed",8832267,322185418.2
2017,"mrt","are","directed",6604638,296134143.8
2017,"mus","are","directed",22268625,106637697.4
2017,"mys","are","directed",2694991886,2923407946
2017,"nga","are","directed",198981253,345057476.7
2017,"nic","are","directed",5670045,339010.71
2017,"nld","are","directed",3161620170,1113057617
2017,"nor","are","directed",467590728,46036895.9
2017,"npl","are","directed",5219118,173032719.8
2017,"nzl","are","directed",579724461,1309700912
2017,"omn","are","directed",2249613436,10111293432
2017,"per","are","directed",602437815,21535569.76
2017,"phl","are","directed",658006504,808956641.9
2017,"plw","are","directed",0,2406.93
2017,"pol","are","directed",549439045,192520220.2
2017,"prt","are","directed",179775282,18494963.23
2017,"pry","are","directed",32575662,60315580.61
2017,"rou","are","directed",309109981,51007092.31
2017,"rus","are","directed",1366432844,167406445.5
2017,"sdn","are","directed",1705804925,966796008.6
2017,"sen","are","directed",134095085,155567349.4
2017,"sgp","are","directed",2749452073,8074098412
2017,"slb","are","directed",0,78773.66
2017,"sle","are","directed",94628,52935088.35
2017,"slv","are","directed",133026,9275726.55
2017,"srb","are","directed",59329966,3481625.69
2017,"stp","are","directed",0,1390573.47
2017,"sur","are","directed",106959441,1147385.15
2017,"svk","are","directed",204317305,17485825.22
2017,"svn","are","directed",80267446,5791797.12
2017,"swe","are","directed",717389149,49883953.77
2017,"syc","are","directed",61020444,160849180.4
2017,"tgo","are","directed",26492764,21747085.77
2017,"tun","are","directed",78326118,131824631
2017,"tur","are","directed",9169887235,5531960780
2017,"tza","are","directed",86114195,564195008.7
2017,"uga","are","directed",427947244,625051662
2017,"ukr","are","directed",383551763,53790381.89
2017,"ury","are","directed",8647947,33399618.42
2017,"usa","are","directed",10188891949,3287741391
2017,"vct","are","directed",0,114777.73
2017,"wsm","are","directed",263212,0
2017,"zaf","are","directed",2926464725,1330135207
2017,"zmb","are","directed",293676405,315066899.6
2017,"abw","arg","directed",0,4100662
2017,"afg","arg","directed",41796,1742478
2017,"ago","arg","directed",6188847.91,37199738
2017,"alb","arg","directed",257544.83,6381031.53
2017,"and","arg","directed",28543,15122
2017,"are","arg","directed",45944993.9,217808344
2017,"arm","arg","directed",120635.05,5865974.68
2017,"atg","arg","directed",31181,392861.24
2017,"aus","arg","directed",258908153.3,628152621.4
2017,"aut","arg","directed",210692574.3,73282339.21
2017,"aze","arg","directed",31554.42,2210869.42
2017,"bdi","arg","directed",3986.77,3521449.83
2017,"ben","arg","directed",0,2282345
2017,"bfa","arg","directed",0,3169189
2017,"bgd","arg","directed",17500697.13,583526840
2017,"bgr","arg","directed",42854916.74,122933456.6
2017,"bhr","arg","directed",7084059.1,5316466
2017,"bhs","arg","directed",4846311.85,12182486
2017,"bih","arg","directed",666302.78,4833629.98
2017,"blr","arg","directed",8184123.96,78446033.13
2017,"blz","arg","directed",0,911624.98
2017,"bmu","arg","directed",0,364027.23
2017,"bol","arg","directed",1234725198,629897226.9
